Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
22/1/2020,, HERRERA, CAÍDA, LEVE, MIÉRCOLES, 8, MALDONADO, MALDONADO, 1, 688465, 6137575 
23/1/2020,, C. CATALOGNE, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, TACUAREMBO, TACUAREMBO, 1, 596565, 6489920 
23/1/2020,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, PAYSANDU, PAYSANDU, 1, 398070, 6423890 
25/1/2020,, NO SE INGRESO, CAÍDA, GRAVE, SÁBADO, 1, CANELONES, BARROS BLANCOS, 1, 589870, 6152735 
7/1/2020,, NO SE INGRESO, DESPISTE, LEVE, MARTES, 17, ROCHA, SIN DATOS, 1, 791265, 6208880 
7/1/2020,, CAMINO FRANCISCO LECOCQ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 569365, 6146355 
7/1/2020,, LOS ROMANCES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 21, MALDONADO, LA BARRA, 1, 695830, 6134410 
8/1/2020,, NO SE INGRESO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 16, ROCHA, SIN DATOS, 1, 817020, 6232855 
9/1/2020,, HARRISON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 18, FLORIDA, SARANDI GRANDE, 1, 562440, 6268250 
10/1/2020,, GUAYCURU, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, CANELONES, SALINAS, 1, 606900, 6150540 
6/2/2020,, GENERAL ARTIGAS, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, JUEVES, 3, CANELONES, SIN DATOS, 1, 571040, 6154195 
6/2/2020,, RAMBLA LORENZO BATLLE PACHECO , DESPISTE, LEVE, JUEVES, 5, MALDONADO, PUNTA DEL ESTE, 1, 690840, 6131610 
6/2/2020,, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 23, MALDONADO, MALDONADO, 1, 687735, 6135590 
8/2/2020,, MARTIN SALABERRY, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 11, DURAZNO, DURAZNO, 1, 543640, 6305605 
20/1/2020,, AVENIDA GENERAL FLORES, DESPISTE, LEVE, LUNES, 19, LAVALLEJA, MINAS, 1, 661465, 6197195 
22/1/2020,, AV.  DELMIRA AGUSTINI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, MONTEVIDEO, MONTEVIDEO, 1, 572280, 6142235 
23/1/2020,, RUTA DOCE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, JUEVES, 22, LAVALLEJA, MINAS, 1, 659330, 6194850 
23/1/2020,, MARIA ORTICOCHEA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 20, MONTEVIDEO, MONTEVIDEO, 1, 572990, 6143275 
25/1/2020,, RUTA 6 KM 25.800, CAÍDA, LEVE, SÁBADO, 13, CANELONES, SIN DATOS, 1, 586310, 6158985 
26/1/2020,, CAMINO VECINAL TRENQUERAS COLORADAS, DESPISTE, LEVE, DOMINGO, 16, SAN JOSE, SIN DATOS, 1, 533245, 6207705 
26/1/2020,, DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 20, FLORIDA, LA CRUZ, 1, 570600, 6245235 
9/2/2020,, ARIES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 15, ROCHA, SIN DATOS, 1, 760275, 6161090 
9/2/2020,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 22, RIO NEGRO, FRAY BENTOS, 1, 378165, 6334480 
11/2/2020,, HOMERO DE GREGORIO, ATROPELLO DE PEATÓN, LEVE, MARTES, 10, MONTEVIDEO, MONTEVIDEO, 1, 575415, 6141620 
12/2/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, CANELONES, AEROPUERTO INTERNACIONAL DE CARRASCO, 1, 589475, 6143735 
19/1/2020,, GUIDO MACHADO BRUM, DESPISTE, LEVE, DOMINGO, 6, RIVERA, SIN DATOS, 1, 638430, 6575775 
19/1/2020,, NO SE INGRESO, CAÍDA, LEVE, DOMINGO, 10, RIVERA, SIN DATOS, 1, 721495, 6483400 
21/1/2020,, F. GILOMEN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, COLONIA, NUEVA HELVECIA, 1, 479180, 6207245 
21/1/2020,, DANIEL MUÑOZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, MONTEVIDEO, MONTEVIDEO, 1, 575845, 6138170 
23/1/2020,, ANSINA, CAÍDA, LEVE, JUEVES, 11, CANELONES, PANDO, 1, 595310, 6156460 
25/1/2020,, DOCTOR ROLDAN, DESPISTE, LEVE, SÁBADO, 22, PAYSANDU, NUEVO PAYSANDU, 1, 398680, 6428200 
26/1/2020,, PRESIDENTE GIRO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 10, RIVERA, SIN DATOS, 1, 633805, 6583490 
27/1/2020,, CALLE 1, DESPISTE, SIN LESIONADOS, LUNES, 19, SALTO, TERMAS DEL DAYMAN, 1, 413990, 6519435 
28/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 22, CANELONES, SIN DATOS, 1, 556920, 6171705 
28/1/2020,, APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 21, ARTIGAS, ARTIGAS, 1, 551255, 6636285 
11/1/2020,, AVENIDA LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 11, MONTEVIDEO, MONTEVIDEO, 1, 567075, 6144705 
11/1/2020,, CALLE 60, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, FLORIDA, FLORIDA, 1, 570005, 6226645 
12/1/2020,, JUAN ACOSTA, ATROPELLO DE ANIMALES, SIN LESIONADOS, DOMINGO, 20, TREINTA Y TRES, TREINTA Y TRES, 1, 744875, 6318470 
