Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
30/12/2021,, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 22, SAN JOSE, SAN JOSE DE MAYO, 1, 526315, 6200460 
2/12/2021,, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, SORIANO, MERCEDES, 1, 403760, 6320310 
28/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, CANELONES, PANDO, 1, 596130, 6157755 
19/11/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, SORIANO, MERCEDES, 1, 403930, 6320540 
24/11/2021,, GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, ARTIGAS, ARTIGAS, 1, 551310, 6636800 
23/11/2021,, RUTA INTERBALNERIA KM 91.500, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, MALDONADO, SIN DATOS, 1, 655355, 6148950 
22/12/2021,, AVENIDA AIGUA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 16, MALDONADO, MALDONADO, 1, 687475, 6135220 
29/11/2021,, AVENIDA DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, LEVE, LUNES, 10, PAYSANDU, PAYSANDU, 1, 397355, 6423980 
24/11/2021,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, SORIANO, MERCEDES, 1, 404035, 6320465 
21/12/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, RIVERA, RIVERA, 1, 638370, 6581205 
3/12/2021,, JUAN ORTIZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, TREINTA Y TRES, TREINTA Y TRES, 1, 744135, 6320005 
28/12/2021,, DOCTOR ARREGUI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, SALTO, SALTO, 1, 409955, 6527340 
31/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, CANELONES, CITY GOLF, 1, 612625, 6152085 
25/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 7, PAYSANDU, CHACRAS DE PAYSANDU, 1, 401360, 6423485 
20/11/2021,, VIA_PUBLICA, DESPISTE, SIN LESIONADOS, SÁBADO, 9, CANELONES, SIN DATOS, 1, 623270, 6153730 
23/12/2021,, AVENIDA DOCTOR LUIS MORQUIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, MONTEVIDEO, MONTEVIDEO, 1, 576785, 6138190 
17/12/2021,, JUAN BAUTISTA ALBERDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 584110, 6139355 
20/12/2021,, ORTIZ Y AYALA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 23, TACUAREMBO, TACUAREMBO, 1, 596075, 6490775 
15/12/2021,, FRANCISCO MARTINEZ, CAÍDA, LEVE, MIÉRCOLES, 20, MALDONADO, MALDONADO, 1, 687030, 6136825 
1/12/2021,, AVENIDA APOLON DE MIRBEK, CAÍDA, LEVE, MIÉRCOLES, 19, SALTO, SALTO, 1, 408190, 6529315 
9/12/2021,, CARMELO COLMAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, SORIANO, MERCEDES, 1, 405945, 6320525 
22/12/2021,, VIRREY ARREDONDO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 23, CERRO LARGO, RIO BRANCO, 1, 839645, 6388200 
25/12/2021,, DOCTOR CARLOS MARIA DE PENA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, MONTEVIDEO, MONTEVIDEO, 1, 572790, 6142645 
4/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, SALTO, TERMAS DEL DAYMAN, 1, 412875, 6520645 
23/12/2021,, MALDONADO, ATROPELLO DE PEATÓN, GRAVE, JUEVES, 11, MONTEVIDEO, MONTEVIDEO, 1, 574010, 6136685 
26/9/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 18, CANELONES, LA FLORESTA, 1, 621340, 6153900 
19/10/2021,, CERRITO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, MONTEVIDEO, MONTEVIDEO, 1, 573000, 6137385 
30/10/2021,, CALLE 1, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 15, MALDONADO, PLAYA HERMOSA, 1, 655280, 6144045 
