Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
25/10/2022,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 576510, 6141290 
27/7/2022,, CAMINO A LAS ROSAS, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 19, MALDONADO, SIN DATOS, 1, 687420, 6144330 
24/8/2022,, SIN DATOS, CAÍDA, LEVE, MIÉRCOLES, 19, MONTEVIDEO, SIN DATOS, 1, 567440, 6148370 
22/7/2022,, REPUBLICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, CANELONES, BARROS BLANCOS, 1, 591290, 6153845 
16/8/2022,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, MONTEVIDEO, MONTEVIDEO, 1, 575040, 6141855 
22/8/2022,, RAMBLA CONCEPCION DEL URUGUAY, ATROPELLO DE PEATÓN, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 581640, 6138275 
18/10/2022,, CORONEL LORENZO LATORRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, COLONIA, COLONIA DEL SACRAMENTO, 1, 422035, 6188470 
21/12/2022,, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, PAYSANDU, PAYSANDU, 1, 397185, 6422300 
6/11/2022,, EDUARDO DIESTE, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 15, CERRO LARGO, MELO, 1, 767890, 6415690 
4/9/2022,, AVENIDA GENERAL JOSE GERVASIO ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 1, DURAZNO, CARMEN, 1, 593390, 6322810 
22/10/2022,, DOCTOR ALEJANDRO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 1, 581970, 6139840 
15/11/2022,, LIBERTAD, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 22, MONTEVIDEO, MONTEVIDEO, 1, 577225, 6136750 
7/12/2022,, AVENIDA DE LAS AMERICAS, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, MIÉRCOLES, 15, CERRO LARGO, MELO, 1, 765195, 6415150 
17/7/2022,, SIN DATOS, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 6, CANELONES, SIN DATOS, 1, 609330, 6190795 
15/11/2022,, LE MANS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, MALDONADO, PUNTA DEL ESTE, 1, 689335, 6132320 
15/8/2022,, AVENIDA GOBERNADOR DE VIANA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 12, SALTO, SALTO, 1, 409860, 6524935 
13/7/2022,, AVENIDA GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 1, 577195, 6143660 
10/12/2022,, CONT. AGUERRE, DESPISTE, LEVE, SÁBADO, 23, MALDONADO, SIN DATOS, 1, 682710, 6137585 
27/7/2022,, VIA_PUBLICA, CAÍDA, LEVE, MIÉRCOLES, 18, CANELONES, BARROS BLANCOS, 1, 593005, 6155215 
