Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
1/1/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 4, SAN JOSE, SAN JOSE DE MAYO, 1, 526180, 6201020 
3/1/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 575855, 6138090 
8/1/2021,, SIN DATOS, CAÍDA, LEVE, VIERNES, 14, CANELONES, SIN DATOS, 1, 580940, 6168700 
4/1/2021,, INTENDENTE OLIVER, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 0, TACUAREMBO, TACUAREMBO, 1, 595655, 6491240 
8/1/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, COLONIA, TARARIRAS, 1, 443610, 6208100 
6/1/2021,, VEINTE DE FEBRERO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578355, 6141540 
7/1/2021,, JAIME ROSS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 8, TACUAREMBO, TACUAREMBO, 1, 595945, 6490350 
7/1/2021,, DOCTOR VAZQUEZ SAGASTUME, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 23, MONTEVIDEO, MONTEVIDEO, 1, 571260, 6141640 
4/1/2021,, GENERAL APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 15, COLONIA, COLONIA DEL SACRAMENTO, 1, 422885, 6186970 
1/1/2021,, SIN DATOS, DESPISTE, GRAVE, VIERNES, 8, RIVERA, SIN DATOS, 1, 612495, 6550640 
7/1/2021,, PEREGRINA BALBOA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, ROCHA, ROCHA, 1, 744435, 6183110 
1/1/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CANELONES, SOLYMAR, 1, 593115, 6146580 
3/1/2021,, ESPAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, RIO NEGRO, FRAY BENTOS, 1, 378240, 6333980 
1/1/2021,, CORONEL FELIPE ARGENTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, PAYSANDU, PAYSANDU, 1, 399750, 6424995 
4/1/2021,, AVENIDA DOCTOR AMERICO RICALDONI, CAÍDA, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 576920, 6137940 
3/1/2021,, REPUBLICA BOLIVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 12, CANELONES, LOMAS DE SOLYMAR, 1, 595055, 6147045 
4/1/2021,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, SALTO, SALTO, 1, 408050, 6526795 
8/1/2021,, OFICIAL TRES --NUEVO PARIS--, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 4, MONTEVIDEO, MONTEVIDEO, 1, 568945, 6145325 
8/1/2021,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 575285, 6141715 
30/6/2021,, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 1, 578915, 6144155 
4/1/2021,, RUMBO A LA MANO DE PARADA 17. FRENTE A PELUQUERIA "MAGNOLIA", DESPISTE, LEVE, LUNES, 23, ROCHA, PUIMAYEN, 1, 832960, 6257845 
8/1/2021,, MANUELA LESTIDO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, CERRO LARGO, MELO, 1, 766380, 6415605 
6/1/2021,, RUTA 9 KM148, CAÍDA, LEVE, MIÉRCOLES, 16, MALDONADO, SIN DATOS, 1, 682685, 6147645 
3/1/2021,, PUERTO INGLES, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 11, COLONIA, PUERTO INGLES, 1, 401635, 6214980 
